Rk,School,G,Pts,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Total_Plays,Total_Yds,Total_Avg,Year,tot_pass_yds,tot_pass_td,tot_pass_cmp,tot_rush_yds,tot_rush_td,tot_rush_atmp
16,Brigham Young,13,31.2,16.7,29.2,57.3,231.3,1.6,35.2,161,4.6,1.5,64.3,392.3,6.1,2024,3007,21,217,2093,20,458
17,Buffalo,13,28.8,14.9,26.7,55.9,186.3,1.5,41,169.1,4.1,1.8,67.7,355.4,5.3,2024,2422,20,194,2198,23,533
18,California,13,25.1,23.2,35.7,65.1,258.6,1.2,34.2,121.5,3.6,1.3,69.8,380.2,5.4,2024,3362,16,302,1580,17,445
19,Central Michigan,12,22.6,13.9,25.2,55.3,163.4,0.9,37.3,166.1,4.5,1.4,62.4,329.5,5.3,2024,1961,11,167,1993,17,448
20,Charlotte,12,23.7,14.8,29.4,50.1,224.1,1.3,32.5,117.1,3.6,1.3,61.9,341.2,5.5,2024,2689,16,178,1405,16,390
21,Cincinnati,12,25.2,21,32.9,63.8,236.5,1.5,35.6,184.1,5.2,1.6,68.5,420.6,6.1,2024,2838,18,252,2209,19,427
22,Clemson,14,34.7,23.6,38.1,62.1,278.5,2.6,33.8,173.4,5.1,1.6,71.9,451.9,6.3,2024,3899,36,330,2428,22,473
23,Coastal Carolina,13,28.7,15,27.6,54.3,202,1.5,37.2,172.5,4.6,1.6,64.8,374.5,5.8,2024,2626,20,195,2243,21,484
24,Colorado,13,32.9,27.2,37.1,73.2,318,2.8,26.2,65.2,2.5,1.2,63.3,383.2,6.1,2024,4134,36,354,848,16,341
25,Colorado State,13,24.4,18.2,30,60.5,219.5,1.2,35.6,168.2,4.7,1.5,65.6,387.6,5.9,2024,2854,16,237,2187,20,463
26,Connecticut,13,31.9,17.1,30.5,56.1,198.4,1.9,39.7,199.2,5,1.8,70.2,397.6,5.7,2024,2579,25,222,2590,23,516
27,Duke,13,26.3,21.5,35.9,60,244.3,2.2,29.3,92.5,3.2,1,65.2,336.8,5.2,2024,3176,29,280,1203,13,381
28,East Carolina,13,32,19.8,32.9,60.3,264,2,36.2,172.4,4.8,1.8,69.2,436.4,6.3,2024,3432,26,257,2241,23,471
29,Eastern Michigan,12,25.9,20.8,34.7,59.9,236,1.4,39.8,141.8,3.6,1.4,74.4,377.8,5.1,2024,2832,17,250,1702,17,478
